,block_id,timeout_in_s,solver_time_in_sec,has_model,finished_execution,lower_bound,upper_bound,models_found,cost_per_model_found,found_model_times,hard_is_sat,hard_time_in_sec,hard_found_model,hard_cost_found
40,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block14,50.0,153.0,True,False,-21,21,"['PUSH PUSH PUSH KECCAK256_0 DUP1 SLOAD_0 DUP4 PUSH AND_0 DUP10 PUSH MSTORE_0 PUSH PUSH MSTORE_1 PUSH MSTORE_2 DUP5 LT_0 ISZERO_0 SWAP2 MSTORE_3 NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH KECCAK256_0 DUP1 SLOAD_0 DUP4 PUSH AND_0 DUP10 PUSH MSTORE_0 PUSH PUSH MSTORE_1 PUSH MSTORE_2 DUP5 LT_0 ISZERO_0 SWAP2 MSTORE_3 NOP NOP NOP NOP NOP', 'DUP6 PUSH MSTORE_0 DUP1 PUSH AND_0 PUSH MSTORE_2 PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 SLOAD_0 DUP3 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'DUP6 PUSH MSTORE_0 DUP1 PUSH AND_0 PUSH MSTORE_2 PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 SLOAD_0 DUP3 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'DUP6 PUSH MSTORE_0 DUP1 PUSH AND_0 PUSH MSTORE_2 PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 SLOAD_0 DUP3 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'DUP6 PUSH MSTORE_0 DUP1 PUSH AND_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP']","[5, 5, 6, 6, 6, 6]","[15.71, 15.71, 135.4, 135.43, 135.46, 153.01]",False,50.02,,
41,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block167,10.0,10.41,False,False,-12,24,[],[],[],False,10.0,,
42,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block146,40.0,40.34,False,False,-2,26,[],[],[],False,40.02,,
43,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block30,10.0,10.74,False,False,-3,21,[],[],[],False,10.02,,
44,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block214,30.0,32.12,False,False,-2,29,[],[],[],False,30.03,,
45,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block1,40.0,40.34,False,False,-2,27,[],[],[],False,40.02,,
46,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_initial_block3.1,50.0,53.64,False,False,-2,40,[],[],[],False,50.04,,
47,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block45.0,40.0,40.71,False,False,-2,29,[],[],[],False,40.01,,
48,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block210,30.0,32.12,False,False,-3,29,[],[],[],False,30.07,,
49,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block101,40.0,44.61,False,False,-2,37,[],[],[],False,40.05,,
