,block_id,timeout_in_s,solver_time_in_sec,has_model,finished_execution,lower_bound,upper_bound,models_found,cost_per_model_found,found_model_times,hard_is_sat,hard_time_in_sec,hard_found_model,hard_cost_found
10,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block103.0,30.0,30.33,False,False,-3,22,[],[],[],True,13.58,PUSH MLOAD_0 RETURNDATASIZE_0 PUSH ADD_0 PUSH AND_0 DUP2 ADD_2 PUSH MSTORE_0 RETURNDATASIZE_0 DUP2 MSTORE_1 PUSH PUSH RETURNDATASIZE_0 DUP4 SWAP6 POP SWAP3 ADD_1,0.0
11,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block204,60.0,88.64,False,False,-3,35,[],[],[],False,60.04,,
12,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block56,50.0,125.26,True,False,-9,25,"['DUP2 DUP1 PUSH PUSH KECCAK256_0 PUSH DUP2 SLOAD_0 DUP1 CALLER_0 PUSH MSTORE_0 PUSH SWAP2 POP SWAP4 PUSH AND_0 SWAP1 SWAP2 MSTORE_2 PUSH MSTORE_1 PUSH MSTORE_3 PUSHTAG_1 PUSH SWAP3 PUSHTAG_0 DUP6 DUP5 CALLER_0 SWAP5 SWAP6 POP', 'DUP2 DUP1 PUSH PUSH KECCAK256_0 PUSH DUP2 SLOAD_0 DUP1 CALLER_0 PUSH MSTORE_0 PUSH SWAP2 POP SWAP4 PUSH AND_0 SWAP1 SWAP2 MSTORE_2 PUSH MSTORE_1 PUSH MSTORE_3 PUSHTAG_1 PUSH SWAP3 PUSHTAG_0 DUP6 DUP5 CALLER_0 SWAP5 SWAP6 POP', 'PUSH PUSH CALLER_0 DUP5 PUSH AND_0 PUSH DUP3 PUSH MSTORE_0 MSTORE_2 POP KECCAK256_0 SWAP2 PUSHTAG_1 PUSH PUSH MSTORE_1 CALLER_0 PUSH SWAP3 DUP6 PUSH MSTORE_3 PUSHTAG_0 DUP2 SWAP7 SLOAD_0 DUP7 SWAP1 NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH DUP3 SWAP1 CALLER_0 PUSH MSTORE_0 AND_0 PUSH SWAP1 DUP2 MSTORE_2 PUSHTAG_1 PUSH DUP3 KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP5 PUSHTAG_0 DUP6 CALLER_0 SWAP4 NOP NOP NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH PUSH PUSH DUP5 AND_0 SWAP1 MSTORE_2 PUSHTAG_1 PUSH DUP5 CALLER_0 SWAP2 PUSH PUSH PUSH MSTORE_1 KECCAK256_0 DUP6 DUP2 PUSH MSTORE_3 PUSHTAG_0 SWAP2 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH DUP3 CALLER_0 PUSH MSTORE_0 AND_0 PUSH MSTORE_2 PUSH PUSH KECCAK256_0 PUSH SWAP1 PUSH PUSH MSTORE_1 CALLER_0 DUP2 SLOAD_0 SWAP2 PUSH MSTORE_3 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH CALLER_0 PUSH MSTORE_0 DUP5 AND_0 PUSH MSTORE_2 PUSH MSTORE_1 PUSH DUP2 KECCAK256_0 DUP1 PUSH MSTORE_3 CALLER_0 PUSHTAG_1 SWAP2 SLOAD_0 PUSHTAG_0 DUP6 DUP8 SWAP3 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH KECCAK256_0 PUSH PUSH DUP6 PUSH AND_0 PUSH CALLER_0 DUP2 MSTORE_0 MSTORE_2 MSTORE_1 CALLER_0 DUP2 PUSH MSTORE_3 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH DUP3 AND_0 PUSH MSTORE_2 PUSH PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 SLOAD_0 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 CALLER_0 DUP5 PUSHTAG_0 DUP3 PUSH MSTORE_0 PUSH DUP3 AND_0 DUP6 MSTORE_2 DUP6 PUSHTAG_1 SWAP5 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH DUP3 CALLER_0 PUSH MSTORE_0 AND_0 PUSH MSTORE_2 PUSH PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 SLOAD_0 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH DUP3 CALLER_0 PUSH MSTORE_0 AND_0 PUSH MSTORE_2 PUSH PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 SLOAD_0 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 PUSH DUP4 AND_0 PUSH CALLER_0 PUSH MSTORE_0 MSTORE_2 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH CALLER_0 PUSH MSTORE_0 DUP3 AND_0 PUSH MSTORE_2 PUSH PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 SLOAD_0 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_1 PUSH PUSH MSTORE_1 PUSH DUP3 KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 CALLER_0 DUP4 MSTORE_0 PUSH DUP6 AND_0 DUP4 MSTORE_2 DUP5 PUSHTAG_0 DUP6 CALLER_0 SWAP4 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP3 PUSH PUSH MSTORE_1 DUP2 PUSH MSTORE_3 PUSH AND_0 CALLER_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP3 PUSH PUSH MSTORE_1 DUP2 PUSH MSTORE_3 PUSH AND_0 CALLER_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP']","[0, 0, 5, 8, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[48.64, 48.64, 62.68, 78.69, 80.34, 96.97, 98.07, 100.32, 100.85, 108.0, 115.09, 115.12, 120.33, 121.15, 123.57, 125.23, 125.27]",False,50.01,,
13,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block266.0,30.0,110.88,True,False,-19,22,"['PUSH MLOAD_0 SWAP2 DUP3 PUSH RETURNDATASIZE_0 ADD_0 PUSH AND_0 ADD_2 PUSH MSTORE_0 POP DUP2 PUSH ADD_1 RETURNDATASIZE_0 DUP4 MSTORE_1 PUSH RETURNDATASIZE_0 SWAP2', 'PUSH MLOAD_0 SWAP2 DUP3 PUSH RETURNDATASIZE_0 ADD_0 PUSH AND_0 ADD_2 PUSH MSTORE_0 POP DUP2 PUSH ADD_1 RETURNDATASIZE_0 DUP4 MSTORE_1 PUSH RETURNDATASIZE_0 SWAP2', 'PUSH MLOAD_0 PUSH PUSH RETURNDATASIZE_0 ADD_0 AND_0 DUP2 SWAP4 POP ADD_2 PUSH MSTORE_0 RETURNDATASIZE_0 DUP3 PUSH SWAP1 PUSH RETURNDATASIZE_0 DUP3 MSTORE_1 ADD_1', 'RETURNDATASIZE_0 PUSH MLOAD_0 SWAP3 POP PUSH PUSH RETURNDATASIZE_0 ADD_0 AND_0 DUP4 SWAP1 ADD_2 PUSH MSTORE_0 DUP1 DUP4 MSTORE_1 PUSH PUSH DUP5 ADD_1']","[0, 0, 0, 0]","[13.18, 13.19, 20.09, 20.87]",True,11.06,PUSH RETURNDATASIZE_0 PUSH ADD_0 AND_0 PUSH MLOAD_0 SWAP3 POP DUP3 SWAP1 ADD_2 PUSH MSTORE_0 RETURNDATASIZE_0 DUP3 MSTORE_1 RETURNDATASIZE_0 PUSH PUSH DUP5 ADD_1,0.0
14,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block260,10.0,14.3,True,False,-5,17,"['SWAP1 SWAP2 POP POP PUSH ADD_0 SWAP1 POP SWAP2 POP SWAP1 PUSH AND_0 ADD_2 PUSH ADD_1 SWAP1', 'SWAP1 SWAP2 POP POP PUSH ADD_0 SWAP1 POP SWAP2 POP SWAP1 PUSH AND_0 ADD_2 PUSH ADD_1 SWAP1']","[0, 0]","[4.29, 4.3]",True,6.79,SWAP2 PUSH SWAP4 POP SWAP6 PUSH SWAP3 POP SWAP5 POP ADD_0 AND_0 ADD_2 PUSH ADD_1 SWAP2 POP,0.0
15,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block30,30.0,184.1,True,False,-9,19,"['SWAP1 POP PUSH PUSH MLOAD_0 PUSH ADD_2 PUSHTAG_0 PUSH DIFFICULTY_0 SWAP1 DUP4 DUP1 SWAP2 ADD_1 PUSH TIMESTAMP_0 SWAP2 SWAP6 ADD_0 SWAP2 MSTORE_0 MSTORE_1', 'SWAP1 POP PUSH PUSH MLOAD_0 PUSH ADD_2 PUSHTAG_0 PUSH DIFFICULTY_0 SWAP1 DUP4 DUP1 SWAP2 ADD_1 PUSH TIMESTAMP_0 SWAP2 SWAP6 ADD_0 SWAP2 MSTORE_0 MSTORE_1', 'PUSH MLOAD_0 PUSH ADD_2 DUP1 PUSH ADD_0 TIMESTAMP_0 DUP3 MSTORE_0 DIFFICULTY_0 SWAP1 PUSH SWAP5 POP MSTORE_1 SWAP1 SWAP2 ADD_1 PUSH SWAP1 PUSHTAG_0 NOP', 'SWAP1 PUSH PUSH SWAP2 POP SWAP2 SWAP2 SWAP1 PUSH DUP2 MLOAD_0 ADD_2 TIMESTAMP_0 DUP2 MSTORE_0 DIFFICULTY_0 PUSH DUP3 ADD_0 MSTORE_1 ADD_1 PUSHTAG_0 NOP', 'SWAP1 POP PUSH PUSH MLOAD_0 PUSH SWAP1 PUSH ADD_2 TIMESTAMP_0 DUP2 MSTORE_0 DIFFICULTY_0 PUSH DUP3 ADD_0 MSTORE_1 ADD_1 PUSHTAG_0 NOP NOP NOP NOP', 'SWAP1 POP PUSH MLOAD_0 PUSH ADD_2 TIMESTAMP_0 DUP2 MSTORE_0 PUSH SWAP1 PUSH DIFFICULTY_0 DUP3 PUSH ADD_0 MSTORE_1 ADD_1 PUSHTAG_0 NOP NOP NOP NOP', 'SWAP1 POP PUSH MLOAD_0 PUSH ADD_2 TIMESTAMP_0 DUP2 MSTORE_0 PUSH SWAP1 PUSH DIFFICULTY_0 DUP3 PUSH ADD_0 MSTORE_1 ADD_1 PUSHTAG_0 NOP NOP NOP NOP', 'SWAP1 POP PUSH MLOAD_0 PUSH ADD_2 TIMESTAMP_0 DUP2 MSTORE_0 PUSH SWAP1 PUSH DIFFICULTY_0 DUP3 PUSH ADD_0 MSTORE_1 ADD_1 PUSHTAG_0 NOP NOP NOP NOP', 'SWAP1 PUSH MLOAD_0 PUSH ADD_2 DIFFICULTY_0 PUSH DUP3 ADD_0 PUSH SWAP4 POP TIMESTAMP_0 DUP4 MSTORE_0 MSTORE_1 PUSH ADD_1 PUSHTAG_0 NOP NOP NOP NOP', 'SWAP1 POP DIFFICULTY_0 PUSH PUSH MLOAD_0 ADD_2 PUSH SWAP2 PUSH TIMESTAMP_0 DUP4 MSTORE_0 DUP3 ADD_0 MSTORE_1 PUSH ADD_1 PUSHTAG_0 NOP NOP NOP NOP']","[0, 0, 1, 1, 4, 4, 4, 4, 4, 4]","[17.61, 17.62, 20.29, 24.92, 32.89, 37.8, 37.84, 37.86, 113.7, 117.06]",True,12.76,PUSH PUSH MLOAD_0 ADD_2 TIMESTAMP_0 DUP2 MSTORE_0 DIFFICULTY_0 DUP2 PUSH ADD_0 MSTORE_1 SWAP2 POP PUSH SWAP1 SWAP2 PUSHTAG_0 PUSH DUP3 ADD_1 SWAP2 POP,0.0
16,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block25,50.0,51.64,False,False,-2,31,[],[],[],False,50.02,,
17,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block197,10.0,24.6,True,False,-8,17,"['SWAP3 POP POP POP DUP2 PUSH ADD_0 CALLDATALOAD_1 SWAP2 PUSH ADD_1 DUP1 CALLDATALOAD_0 SWAP4 POP POP SWAP3', 'SWAP3 POP POP POP DUP2 PUSH ADD_0 CALLDATALOAD_1 SWAP2 PUSH ADD_1 DUP1 CALLDATALOAD_0 SWAP4 POP POP SWAP3', 'SWAP6 SWAP5 POP POP SWAP2 SWAP1 POP PUSH PUSH DUP3 ADD_0 CALLDATALOAD_1 SWAP3 POP ADD_1 CALLDATALOAD_0 SWAP2', 'PUSH PUSH DUP7 ADD_0 CALLDATALOAD_1 SWAP6 ADD_1 CALLDATALOAD_0 SWAP3 SWAP6 POP SWAP3 POP POP SWAP3 POP SWAP3']","[0, 0, 0, 0]","[4.19, 4.2, 13.43, 14.61]",False,10.01,,
18,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block39,20.0,27.67,True,False,-16,16,"['PUSH SWAP2 PUSH MSTORE_0 SWAP2 POP PUSH KECCAK256_0 ADD_0 SLOAD_0 DUP1 PUSH DUP4 DUP2 SLOAD_1 DUP6 LT_0', 'PUSH SWAP2 PUSH MSTORE_0 SWAP2 POP PUSH KECCAK256_0 ADD_0 SLOAD_0 DUP1 PUSH DUP4 DUP2 SLOAD_1 DUP6 LT_0', 'SWAP2 POP PUSH MSTORE_0 PUSH PUSH KECCAK256_0 ADD_0 SLOAD_0 DUP2 PUSH DUP4 DUP2 SLOAD_1 DUP5 SWAP4 LT_0', 'SWAP2 POP PUSH MSTORE_0 PUSH PUSH KECCAK256_0 ADD_0 SLOAD_0 PUSH SLOAD_1 PUSH DUP4 DUP4 SWAP3 DUP6 LT_0', 'SWAP2 POP PUSH MSTORE_0 PUSH PUSH KECCAK256_0 ADD_0 SLOAD_0 DUP1 PUSH DUP4 DUP2 SLOAD_1 DUP6 LT_0 NOP']","[0, 0, 0, 0, 1]","[2.8, 2.8, 24.04, 24.08, 27.66]",False,20.01,,
19,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block21,50.0,52.25,False,False,-3,27,[],[],[],False,50.0,,
