,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
0,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block38_input,4.0,12,True,False,12,0.0,0.027,DUP4 DUP3 GT ISZERO ,4,4.0,2,0,4.0,"['DUP4', 'DUP3', 'GT', 'ISZERO']",4,0.0
1,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block86_input,3.0,8,True,False,8,0.0,0.023,SWAP1 POP SWAP1 ,3,3.0,0,0,3.0,"['SWAP2', 'SWAP1', 'POP']",3,0.0
2,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block43_input,11.0,734,True,False,737,3.0,0.872,PUSH 100 DUP3 SLOAD DIV PUSH 100 MUL PUSH 20 DUP5 ADD SWAP4 MSTORE ,12,11.0,5,2,16.0,"['PUSH2', 'DUP1', 'DUP4', 'SLOAD', 'DIV', 'MUL', 'DUP4', 'MSTORE', 'SWAP2', 'PUSH1', 'ADD', 'SWAP2']",15,-1.0
3,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block104_input,6.0,15,True,False,18,3.0,0.15,SWAP4 POP POP SWAP1 POP SWAP2 ,7,6.0,0,0,6.0,"['SWAP1', 'POP', 'SWAP3', 'POP', 'SWAP3', 'SWAP1', 'POP']",7,1.0
4,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block21_input,5.0,13,True,False,13,0.0,0.031,POP PUSHTAG 31 SWAP3 SWAP2 POP ,5,5.0,1,0,9.0,"['POP', 'PUSHTAG', 'SWAP3', 'SWAP2', 'POP']",9,0.0
5,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block7_input,3.0,9,True,False,21,12.0,0.022,DUP2 PUSH ffffffffffffffffffffffffffffffffffffffff AND ,3,3.0,1,1,23.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP3', 'AND']",10,-13.0
6,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block74_input,27.0,81,True,False,93,12.0,52.769,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 616c616e63650000000000000000000000000000000000000000000000000000 PUSH 64 PUSH 26 PUSH 24 DUP5 ADD MSTORE PUSH 45524332303a207472616e7366657220616d6f756e7420657863656564732062 PUSH 44 DUP5 ADD MSTORE DUP3 ADD MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH6', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",82,-49.0
7,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block75_input,38.0,5834,False,False,5874,40.0,49.998,DUP4 PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH 0 MSTORE PUSH ffffffffffffffffffffffffffffffffffffffff DUP4 AND PUSH 0 MSTORE DUP2 PUSH 40 PUSH 0 KECCAK256 PUSH 0 DUP2 DUP3 SWAP5 DUP5 DUP2 SUB PUSHTAG 131 SWAP3 SSTORE SWAP5 SLOAD SWAP2 PUSH 20 DUP2 SWAP4 SWAP3 POP SWAP9 SWAP9 MSTORE DUP4 PUSHTAG 131 SWAP2 ,38,38.0,10,4,92.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP1', 'DUP6', 'AND', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'DUP2', 'SWAP1', 'MSTORE', 'PUSH1', 'DUP1', 'DUP3', 'KECCAK256', 'DUP6', 'DUP6', 'SUB', 'SWAP1', 'SSTORE', 'SWAP2', 'DUP6', 'AND', 'DUP2', 'MSTORE', 'SWAP1', 'DUP2', 'KECCAK256', 'DUP1', 'SLOAD', 'DUP5', 'SWAP3', 'SWAP1', 'PUSHTAG', 'SWAP1', 'DUP5', 'SWAP1']",52,-40.0
8,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block31_input,,,False,True,72,,10.005,,24,,10,4,,"['PUSH1', 'MLOAD', 'PUSH1', 'DUP4', 'ADD', 'PUSH1', 'NOT', 'SWAP1', 'DUP2', 'AND', 'PUSH1', 'ADD', 'AND', 'DUP2', 'ADD', 'SWAP1', 'DUP3', 'DUP3', 'GT', 'DUP2', 'DUP4', 'LT', 'OR', 'ISZERO']",28,
9,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block103_input,6.0,17,True,False,17,0.0,0.078,SWAP2 POP PUSHTAG 159 DUP4 PUSH 20 ADD ,6,6.0,2,1,11.0,"['SWAP2', 'POP', 'PUSHTAG', 'PUSH1', 'DUP5', 'ADD']",11,0.0
