,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
201,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block234_input,2.0,5,True,False,5,0.0,0.018,SWAP1 POP ,2,2.0,0,0,2.0,"['SWAP1', 'POP']",2,0.0
202,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block262_input,2.0,703,True,False,703,0.0,0.02,DUP5 EXTCODESIZE ,2,2.0,1,0,2.0,"['DUP5', 'EXTCODESIZE']",2,0.0
203,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block247_input,9.0,27,True,False,36,9.0,0.474,DUP1 PUSH 20 ADD DUP1 DUP3 MLOAD ADD PUSHTAG 346 SWAP2 ,12,9.0,4,1,14.0,"['DUP1', 'DUP1', 'PUSH1', 'ADD', 'SWAP1', 'MLOAD', 'DUP2', 'ADD', 'SWAP1', 'PUSHTAG', 'SWAP2', 'SWAP1']",17,3.0
204,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block328_input,11.0,35,True,False,38,3.0,0.456,PUSH 0 DUP2 ISZERO ISZERO DUP3 PUSH ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff DIV DUP5 GT AND ISZERO ,12,11.0,6,2,44.0,"['PUSH1', 'DUP2', 'PUSH1', 'NOT', 'DIV', 'DUP4', 'GT', 'DUP3', 'ISZERO', 'ISZERO', 'AND', 'ISZERO']",14,-30.0
205,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block170_input,1.0,3,True,False,3,0.0,0.019,GT ,1,1.0,1,0,1.0,['GT'],1,0.0
206,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block222_input,4.0,10,True,False,13,3.0,0.028,POP POP PUSH 1 SWAP1 ,5,4.0,0,1,5.0,"['POP', 'PUSH1', 'SWAP2', 'SWAP1', 'POP']",6,1.0
207,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block244.0_input,11.0,730,True,False,754,24.0,1.805,DUP1 PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH 0 SLOAD PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH 8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 PUSH 0 PUSH 40 MLOAD ,15,11.0,4,4,86.0,"['PUSH1', 'DUP1', 'SLOAD', 'PUSH1', 'MLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP1', 'DUP6', 'AND', 'SWAP4', 'SWAP3', 'AND', 'SWAP2', 'PUSH32', 'SWAP2']",56,-30.0
208,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block314_input,6.0,18,True,False,24,6.0,0.022,PUSH 11 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,4,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
209,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block298_input,6.0,15,True,False,23,8.0,0.678,SWAP4 POP POP SWAP1 POP SWAP2 ,9,6.0,0,0,6.0,"['DUP1', 'SWAP2', 'POP', 'POP', 'SWAP3', 'POP', 'SWAP3', 'SWAP1', 'POP']",9,3.0
210,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block149_input,6.0,18,True,False,18,0.0,0.028,PUSH 5 DUP2 PUSH ff AND LT ISZERO ,6,6.0,3,2,8.0,"['PUSH1', 'DUP2', 'PUSH1', 'AND', 'LT', 'ISZERO']",8,0.0
