,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
458,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block96_input,4.0,8,True,False,8,0.0,0.024,POP POP POP POP ,4,4.0,0,0,4.0,"['POP', 'POP', 'POP', 'POP']",4,0.0
459,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block93_input,4.0,12,True,False,15,3.0,0.03,PUSHTAG 44 SWAP1 PUSH 40 MLOAD ,5,4.0,2,1,9.0,"['PUSH1', 'MLOAD', 'PUSHTAG', 'SWAP2', 'SWAP1']",10,1.0
460,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block279_input,7.0,21,True,False,24,3.0,0.092,SWAP1 PUSHTAG 367 SWAP2 PUSH 40 MLOAD PUSH 20 ADD ,8,7.0,3,2,13.0,"['PUSH1', 'MLOAD', 'PUSH1', 'ADD', 'PUSHTAG', 'SWAP3', 'SWAP2', 'SWAP1']",14,1.0
461,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block235_input,5.0,15,True,False,15,0.0,0.032,PUSH 0 DUP3 DUP3 LT ISZERO ,5,5.0,2,1,6.0,"['PUSH1', 'DUP3', 'DUP3', 'LT', 'ISZERO']",6,0.0
462,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block7_input,3.0,9,True,False,9,0.0,0.018,PUSH f8f177bd DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
463,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block239.0_input,9.0,724,True,False,748,24.0,0.538,PUSH 0 PUSH ffffffffffffffffffffffffffffffffffffffff PUSH a SLOAD AND PUSH 8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 DUP3 PUSH 40 MLOAD ,13,9.0,3,5,64.0,"['PUSH1', 'SLOAD', 'PUSH1', 'MLOAD', 'PUSH1', 'SWAP2', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'SWAP1', 'PUSH32', 'SWAP1', 'DUP4', 'SWAP1']",55,-9.0
464,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block439_input,11.0,31,True,False,43,12.0,4.78,SWAP2 POP POP PUSH 1f ADD PUSH ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0 AND ADD PUSH 20 ADD SWAP1 ,15,11.0,4,3,45.0,"['PUSH1', 'ADD', 'PUSH1', 'NOT', 'AND', 'SWAP3', 'SWAP1', 'SWAP3', 'ADD', 'PUSH1', 'ADD', 'SWAP3', 'SWAP2', 'POP', 'POP']",18,-27.0
465,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block384_input,7.0,16,True,False,19,3.0,0.092,POP POP POP POP POP PUSH 1 SWAP1 ,8,7.0,0,1,8.0,"['POP', 'PUSH1', 'SWAP5', 'SWAP4', 'POP', 'POP', 'POP', 'POP']",9,1.0
466,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block521_input,5.0,15,True,False,15,0.0,0.03,PUSH 0 DUP3 DUP3 LT ISZERO ,5,5.0,2,1,6.0,"['PUSH1', 'DUP3', 'DUP3', 'LT', 'ISZERO']",6,0.0
467,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block43_input,4.0,12,True,False,12,0.0,0.029,DUP3 DUP5 GT ISZERO ,4,4.0,2,0,4.0,"['DUP3', 'DUP5', 'GT', 'ISZERO']",4,0.0
468,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block117_input,3.0,9,True,False,21,12.0,0.03,DUP3 PUSH ffffffffffffffffffffffffffffffffffffffff AND ,3,3.0,1,1,23.0,"['DUP3', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND']",10,-13.0
469,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block109_input,27.0,81,True,False,93,12.0,41.886,PUSH 40 MLOAD PUSH 2c DUP2 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 20 PUSH 4 DUP5 ADD MSTORE PUSH 24 ADD MSTORE PUSH 697374656e7420746f6b656e0000000000000000000000000000000000000000 PUSH 64 PUSH 4552433732313a206f70657261746f7220717565727920666f72206e6f6e6578 DUP4 PUSH 44 ADD MSTORE DUP3 ADD MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH12', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",88,-43.0
470,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block196_input,6.0,714,True,False,726,12.0,0.026,PUSH a SLOAD PUSH ffffffffffffffffffffffffffffffffffffffff AND CALLER EQ ,6,6.0,4,2,27.0,"['PUSH1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'CALLER', 'EQ']",14,-13.0
471,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block226_input,4.0,12,True,False,14,2.0,0.026,SWAP1 PUSH 7f AND SWAP1 ,5,4.0,1,1,5.0,"['PUSH1', 'DUP3', 'AND', 'SWAP2', 'POP']",6,1.0
472,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block284_input,4.0,709,True,False,709,0.0,0.018,PUSH e SLOAD PUSH 2 EQ ,4,4.0,2,2,6.0,"['PUSH1', 'SLOAD', 'PUSH1', 'EQ']",6,0.0
473,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block96_input,1.0,2,True,False,2,0.0,0.016,POP ,1,1.0,0,0,1.0,['POP'],1,0.0
474,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block159.0_input,22.0,62,False,False,62,0.0,29.999,PUSH ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffe0 PUSH 3f RETURNDATASIZE ADD AND PUSH 40 MLOAD SWAP3 POP PUSH 0 DUP4 PUSH 20 ADD RETURNDATASIZE SWAP3 DUP6 ADD PUSH 40 MSTORE RETURNDATASIZE DUP6 MSTORE ,22,22.0,8,5,59.0,"['PUSH1', 'MLOAD', 'SWAP2', 'POP', 'PUSH1', 'NOT', 'PUSH1', 'RETURNDATASIZE', 'ADD', 'AND', 'DUP3', 'ADD', 'PUSH1', 'MSTORE', 'RETURNDATASIZE', 'DUP3', 'MSTORE', 'RETURNDATASIZE', 'PUSH1', 'PUSH1', 'DUP5', 'ADD']",28,-31.0
475,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block281_input,5.0,12,True,False,12,0.0,0.027,SWAP3 POP POP POP SWAP1 ,5,5.0,0,0,5.0,"['SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",5,0.0
476,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block9_input,3.0,9,True,False,9,0.0,0.018,PUSH a22cb465 DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
477,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block413_input,3.0,9,True,False,9,0.0,0.019,SWAP2 DUP3 ADD ,3,3.0,1,0,3.0,"['SWAP2', 'DUP3', 'ADD']",3,0.0
