,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
143,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block18_input,4.0,12,True,False,12,0.0,0.022,DUP1 DUP3 GT ISZERO ,4,4.0,2,0,4.0,"['DUP1', 'DUP3', 'GT', 'ISZERO']",4,0.0
144,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block176_input,7.0,21,True,False,21,0.0,0.069,PUSH 0 DUP6 DUP4 ADD PUSH 40 ADD MSTORE ,7,7.0,3,2,9.0,"['PUSH1', 'PUSH1', 'DUP4', 'DUP8', 'ADD', 'ADD', 'MSTORE']",9,0.0
145,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block133_input,27.0,81,True,False,93,12.0,34.849,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 45524332303a207472616e7366657220746f20746865207a65726f2061646472 PUSH 23 DUP3 PUSH 24 ADD MSTORE PUSH 44 DUP3 ADD MSTORE PUSH 84 PUSH 6573730000000000000000000000000000000000000000000000000000000000 PUSH 64 DUP4 ADD MSTORE ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH3', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",79,-52.0
146,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block75_input,7.0,717,True,False,732,15.0,0.1,SWAP1 POP PUSH ffffffffffffffffffffffffffffffffffffffff PUSH 3 SLOAD AND PUSHTAG 124 ,8,7.0,3,2,32.0,"['SWAP1', 'POP', 'PUSHTAG', 'PUSH1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'SWAP1']",20,-12.0
147,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block5_input,10.0,5723,True,False,5771,48.0,1.44,POP PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH ffffffffffffffffffffffff0000000000000000000000000000000000000000 PUSH 3 SLOAD AND OR PUSH 3 SSTORE ,18,10.0,5,3,64.0,"['POP', 'PUSH1', 'DUP1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'SWAP3', 'SWAP1', 'SWAP3', 'AND', 'SWAP2', 'SWAP1', 'SWAP2', 'OR', 'SWAP1', 'SSTORE']",33,-31.0
148,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block171.0_input,7.0,21,True,False,21,0.0,0.086,DUP3 DUP6 PUSH 20 ADD PUSH 20 DUP4 ADD ,7,7.0,2,1,9.0,"['DUP3', 'PUSH1', 'DUP7', 'ADD', 'PUSH1', 'DUP4', 'ADD']",9,0.0
149,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block10_input,10.0,5027,True,False,5030,3.0,0.286,DUP3 DUP4 ADD DUP2 MLOAD PUSH ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00 AND OR DUP6 SSTORE ,11,10.0,5,1,42.0,"['DUP1', 'MLOAD', 'PUSH1', 'NOT', 'AND', 'DUP4', 'DUP1', 'ADD', 'OR', 'DUP6', 'SSTORE']",12,-30.0
150,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block210_input,6.0,18,True,False,21,3.0,0.043,DUP1 PUSH 1 SHR DUP2 PUSH 1 AND ,7,6.0,2,1,8.0,"['PUSH1', 'DUP2', 'DUP2', 'SHR', 'SWAP1', 'DUP3', 'AND']",8,0.0
151,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block20_input,7.0,21,True,False,21,0.0,0.047,PUSH 0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO ,7,7.0,3,2,9.0,"['PUSH1', 'PUSH1', 'DUP3', 'DUP5', 'SUB', 'SLT', 'ISZERO']",9,0.0
152,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block90_input,12.0,733,True,False,736,3.0,1.102,DUP2 PUSH 1 ADD SWAP2 SLOAD DUP2 MSTORE PUSH 20 ADD DUP1 DUP4 GT ,13,12.0,5,2,14.0,"['DUP2', 'SLOAD', 'DUP2', 'MSTORE', 'SWAP1', 'PUSH1', 'ADD', 'SWAP1', 'PUSH1', 'ADD', 'DUP1', 'DUP4', 'GT']",15,1.0
