,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
38,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block110_input,6.0,18,True,False,18,0.0,0.057,DUP3 MLOAD DUP1 DUP5 PUSH 20 ADD ,6,6.0,2,1,7.0,"['DUP3', 'MLOAD', 'DUP1', 'DUP5', 'PUSH1', 'ADD']",7,0.0
39,0x3E873439949793e8c577E08629c36Ed8c184e7D9_Ownable_block21_input,7.0,21,True,False,21,0.0,0.064,PUSH 0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO ,7,7.0,3,2,9.0,"['PUSH1', 'PUSH1', 'DUP3', 'DUP5', 'SUB', 'SLT', 'ISZERO']",9,0.0
40,0x3E873439949793e8c577E08629c36Ed8c184e7D9_SafeERC20_initial_block0.1_input,6.0,18,True,False,18,0.0,0.042,DUP1 MLOAD PUSH 0 BYTE PUSH 73 EQ ,6,6.0,3,2,8.0,"['DUP1', 'MLOAD', 'PUSH1', 'BYTE', 'PUSH1', 'EQ']",8,0.0
41,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block34_input,9.0,27,True,False,33,6.0,0.039,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSHTAG 49 SWAP1 PUSH 4 ADD ,9,9.0,4,3,47.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSHTAG', 'SWAP1']",21,-26.0
42,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block140_input,5.0,15,True,False,15,0.0,0.036,PUSH 0 DUP4 DUP6 ADD MSTORE ,5,5.0,2,1,6.0,"['PUSH1', 'DUP5', 'DUP5', 'ADD', 'MSTORE']",6,0.0
43,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block75.1_input,10.0,5724,True,False,5769,45.0,1.143,PUSH ffffffffffffffffffffffffffffffffffffffff SWAP1 AND PUSH ffffffffffffffffffffffff0000000000000000000000000000000000000000 PUSH 0 SLOAD AND OR PUSH 0 SSTORE ,17,10.0,5,3,64.0,"['PUSH1', 'DUP1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'SWAP3', 'SWAP1', 'SWAP3', 'AND', 'SWAP2', 'SWAP1', 'SWAP2', 'OR', 'SWAP1', 'SSTORE']",32,-32.0
44,0x3E873439949793e8c577E08629c36Ed8c184e7D9_Ownable_block0_input,6.0,16,True,False,17,1.0,0.038,PUSH 80 PUSH 40 MSTORE CALLVALUE CALLVALUE ISZERO ,6,6.0,3,2,8.0,"['PUSH1', 'PUSH1', 'MSTORE', 'CALLVALUE', 'DUP1', 'ISZERO']",8,0.0
45,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block99_input,2.0,703,True,False,703,0.0,0.023,DUP5 EXTCODESIZE ,2,2.0,1,0,2.0,"['DUP5', 'EXTCODESIZE']",2,0.0
46,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block72_input,9.0,27,True,False,33,6.0,0.037,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSHTAG 49 SWAP1 PUSH 4 ADD ,9,9.0,4,3,47.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSHTAG', 'SWAP1']",21,-26.0
47,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block122_input,8.0,24,True,False,24,0.0,0.145,PUSH 0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO ,8,8.0,3,2,10.0,"['PUSH1', 'DUP1', 'PUSH1', 'DUP4', 'DUP6', 'SUB', 'SLT', 'ISZERO']",10,0.0
