,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
65,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block174_input,14.0,42,True,False,42,0.0,2.709,DUP3 DUP2 DUP8 ADD DUP5 ADD MLOAD DUP3 DUP8 ADD PUSH 40 ADD MSTORE ADD ,14,14.0,7,1,15.0,"['DUP6', 'DUP2', 'ADD', 'DUP4', 'ADD', 'MLOAD', 'DUP6', 'DUP3', 'ADD', 'PUSH1', 'ADD', 'MSTORE', 'DUP3', 'ADD']",15,0.0
66,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block120_input,22.0,66,True,False,72,6.0,10.703,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 1f PUSH 20 PUSH 4 DUP4 ADD MSTORE DUP2 PUSH 24 ADD MSTORE PUSH 45524332303a206d696e7420746f20746865207a65726f206164647265737300 PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD ,22,22.0,9,9,93.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",67,-26.0
67,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block123.1_input,2.0,4,True,False,4,0.0,0.007,POP POP ,2,2.0,0,0,2.0,"['POP', 'POP']",2,0.0
68,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block9_input,3.0,9,True,False,9,0.0,0.008,DUP1 PUSH dd62ed3e EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
69,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block121_input,7.0,718,True,False,724,6.0,0.098,DUP1 PUSH 6 PUSH 0 PUSHTAG 216 DUP4 DUP4 SLOAD ,9,7.0,2,2,13.0,"['DUP1', 'PUSH1', 'PUSH1', 'DUP3', 'DUP3', 'SLOAD', 'PUSHTAG', 'SWAP2', 'SWAP1']",15,2.0
70,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block181_input,8.0,24,True,False,24,0.0,0.067,PUSH 0 PUSH 0 PUSH 40 DUP4 DUP6 SUB SLT ISZERO ,8,8.0,3,2,11.0,"['PUSH1', 'DUP1', 'PUSH1', 'DUP4', 'DUP6', 'SUB', 'SLT', 'ISZERO']",10,-1.0
71,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block194_input,9.0,27,True,False,27,0.0,0.093,PUSH 0 DUP1 DUP2 PUSH 60 DUP5 DUP7 SUB SLT ISZERO ,9,9.0,3,2,11.0,"['PUSH1', 'DUP1', 'PUSH1', 'PUSH1', 'DUP5', 'DUP7', 'SUB', 'SLT', 'ISZERO']",12,1.0
72,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_ECDSA_block0_input,6.0,17,True,False,17,0.0,0.019,ADDRESS PUSHDEPLOYADDRESS EQ PUSH 80 PUSH 40 MSTORE ,6,6.0,4,2,28.0,"['PUSHDEPLOYADDRESS', 'ADDRESS', 'EQ', 'PUSH1', 'PUSH1', 'MSTORE']",28,0.0
73,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block13_input,3.0,9,True,False,9,0.0,0.012,DUP1 PUSH 95d89b41 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
74,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block29_input,3.0,9,True,False,9,0.0,0.015,DUP1 PUSH 1195e07e EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
