,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
14,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block56_input,,,False,True,867,,50.093,,35,,10,5,,"['CALLER', 'PUSH1', 'DUP2', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP4', 'KECCAK256', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP8', 'AND', 'DUP5', 'MSTORE', 'SWAP1', 'SWAP2', 'MSTORE', 'DUP2', 'KECCAK256', 'SLOAD', 'SWAP1', 'SWAP2', 'PUSHTAG', 'SWAP2', 'DUP6', 'SWAP1', 'PUSHTAG', 'SWAP1', 'DUP7', 'SWAP1']",54,
15,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block110_input,6.0,18,True,False,18,0.0,0.021,PUSH 0 DUP3 NOT DUP3 GT ISZERO ,6,6.0,3,1,7.0,"['PUSH1', 'DUP3', 'NOT', 'DUP3', 'GT', 'ISZERO']",7,0.0
16,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block2.1_input,7.0,21,True,False,24,3.0,0.051,DUP2 ADD PUSHTAG 2 SWAP2 DUP2 PUSH 40 MSTORE ,8,7.0,3,1,12.0,"['DUP2', 'ADD', 'PUSH1', 'DUP2', 'SWAP1', 'MSTORE', 'PUSHTAG', 'SWAP2']",13,1.0
17,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block107_input,6.0,18,True,False,18,0.0,0.024,PUSH 20 DUP3 LT DUP2 EQ ISZERO ,6,6.0,3,1,7.0,"['PUSH1', 'DUP3', 'LT', 'DUP2', 'EQ', 'ISZERO']",7,0.0
18,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block41_input,2.0,6,True,False,6,0.0,0.011,DUP1 ISZERO ,2,2.0,1,0,2.0,"['DUP1', 'ISZERO']",2,0.0
19,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block47_input,8.0,18,True,False,18,0.0,0.065,POP POP POP POP POP SWAP2 SWAP1 POP ,8,8.0,0,0,8.0,"['POP', 'POP', 'POP', 'POP', 'POP', 'SWAP1', 'POP', 'SWAP1']",8,0.0
20,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block24_input,7.0,21,True,False,21,0.0,0.029,PUSH 40 MLOAD SWAP1 DUP2 MSTORE PUSH 20 ADD ,7,7.0,3,2,9.0,"['PUSH1', 'MLOAD', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'ADD']",9,0.0
21,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block50_input,6.0,18,True,False,18,0.0,0.025,PUSH 0 DUP3 NOT DUP3 GT ISZERO ,6,6.0,3,1,7.0,"['PUSH1', 'DUP3', 'NOT', 'DUP3', 'GT', 'ISZERO']",7,0.0
22,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block84_input,7.0,21,True,False,33,12.0,0.047,DUP1 CALLDATALOAD PUSH ffffffffffffffffffffffffffffffffffffffff DUP2 AND DUP2 EQ ,7,7.0,3,1,27.0,"['DUP1', 'CALLDATALOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP2', 'AND', 'DUP2', 'EQ']",14,-13.0
23,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block49_input,5.0,12,True,False,15,3.0,0.025,POP POP POP PUSH 1 SWAP1 ,6,5.0,0,1,6.0,"['POP', 'PUSH1', 'SWAP3', 'SWAP2', 'POP', 'POP']",7,1.0
